AAPL.O,MSFT.O,AMZN.O,JPM.N,V.N,JNJ.N,WMT.N,BAC.N,BRK_B.N,XOM.N,turnover,transaction_cost,gross_log_return,net_log_return
0.10001675216254126,0.09967002726623679,0.3499999999999999,6.414224725374461e-19,0.09999541275122881,0.09999491559802354,0.09999162733983559,7.715870577952989e-19,0.0999982944592901,0.0503329704228439,2.3599705081811663e-07,2.3599705081811663e-10,0.015204328690492435,0.015204328454495385
0.1000169765271983,0.09967002294680845,0.35000000000000003,6.413184516223315e-19,0.0999954051922548,0.09999484954717061,0.09999157481484279,7.7147843034698865e-19,0.09999825159580628,0.05033291937591894,4.487293140120754e-07,4.4872931401207535e-10,0.0402701528592705,0.04027015241054119
0.10001723600836931,0.09967001659115975,0.35,6.412754648444353e-19,0.0999953949074481,0.09999477333033431,0.09999151112816254,7.714321523452102e-19,0.0999982038776934,0.050332864156832684,5.18962342148377e-07,5.18962342148377e-10,0.013383781448382575,0.013383780929420233
0.10001750897078823,0.09967000958961726,0.35,6.412041288116477e-19,0.09999538418425723,0.09999469389887976,0.09999144362202703,7.713583421966099e-19,0.09999815321064953,0.050332806523781075,5.459248378220095e-07,5.459248378220095e-10,0.030481200960951305,0.030481200415026468
0.10001773380648103,0.09967000407101123,0.35,6.40967227883578e-19,0.09999537657089232,0.09999457207287012,0.099991383890972,7.712094892759902e-19,0.09999815251681383,0.05033277707095949,4.4967138569662655e-07,4.4967138569662657e-10,-0.03400123418705897,-0.034001234636730354
0.10001778348595311,0.09967000327824704,0.35,6.409408962729425e-19,0.099995375255213,0.09999455811393329,0.09999137148956534,7.712206606243329e-19,0.0999981430798864,0.050332765297201834,9.935894414864203e-08,9.935894414864203e-11,0.039891619054423955,0.03989161895506501
0.10001783687554033,0.09967000220263866,0.35,6.409127983415464e-19,0.09999537368027676,0.09999454329312533,0.09999135840264484,7.712102724671017e-19,0.09999813288843358,0.05033275265734052,1.067791744399638e-07,1.067791744399638e-10,-0.0006460946765789248,-0.0006460947833580993
0.10001786015043844,0.09967000192981533,0.35,6.409055950495893e-19,0.09999537337369234,0.09999453660910104,0.09999135255817175,7.712111630873423e-19,0.09999812839246734,0.050332746986313785,4.6549796212103096e-08,4.6549796212103096e-11,0.005889240469584239,0.005889240423034443
0.10001787364959736,0.09967000178352625,0.35,6.409075638148341e-19,0.09999537354642306,0.09999453257826589,0.09999134937249231,7.712284411487618e-19,0.09999812562342857,0.05033274344626661,2.7343779254729326e-08,2.7343779254729326e-11,-0.0405474599398266,-0.04054745996717038
0.10001787886141796,0.09967000153062441,0.35,6.409044868230181e-19,0.0999953740358026,0.09999453096315092,0.09999134810382311,7.712321322345321e-19,0.09999812460174505,0.050332741903436,1.1402400273974329e-08,1.140240027397433e-11,0.007508466098428816,0.0075084660870264166
0.10001788459032179,0.0996700012572104,0.35,6.409011727910929e-19,0.09999537465882806,0.09999452915294882,0.09999134670213092,7.712397687852576e-19,0.09999812345930455,0.050332740179255514,1.2703858597029615e-08,1.2703858597029615e-11,0.01612122756493077,0.016121227552226912
